#    Dat Name: Sega - Mega Drive - Genesis
#     Version: 20160524-120709
# Description: Sega - Mega Drive - Genesis
#     Comment: no-intro | www.no-intro.org
#      Author: 
#        Type: ClrMamePro
#       Games: 1706
#       Flags: data_imported=True from_dat=True sets_added=False sets_deleted=False
CRC32 (c)	YEAR	AUTHOR
e35e25fb	0	
a948ab7e	0	
bc597d48	0	
8ba7e6c5	0	
d704784b	1994	
11e9c3f2	1994	
5d5c9ade	1993	
70132168	1993	
138a104e	1994	
729edd17	1994	
695cd8b8	1994	
20f168a6	0	
2348da80	0	
7f26614e	0	
51ad7797	0	
25b7b2aa	0	
7bdec762	0	
d2d2d437	0	
306d839e	0	
c9ddac72	0	
8329820a	0	
153a3afa	0	
88c8dd94	0	
1801098b	0	
74736a80	0	
beafce84	0	
4eb4d5e4	0	
4840348c	0	
8f4e1005	0	
fecf9b94	0	
d737cf3d	0	
d02d3282	1994	
2e6eec7e	1994	
77b5b10b	1995	
f839a811	1991	
c74dcb35	1990	
2232f03d	0	
4d47a647	0	
16ead64c	1992	
9c4dd057	1992	
b8c04804	0	
55915915	0	
a9a0083d	0	
ebacfb5a	0	
c7ee8965	0	
56512ee5	0	
c276c220	0	
d9503ba5	0	
fcb86336	0	
2e515f82	0	
558e35e0	0	
5f279940	0	
fe91ab7e	0	
4d35ebe4	0	
5fb0c5d4	1995	
7bb60c3f	0	
fae3d720	1991	
41fcc497	0	
5650780b	1994	
80416d0d	0	
d975e93c	0	
9700139b	1994	
6511aa61	1994	
ce464f0e	0	
256a21d2	1992	
dea53d19	1991	
b6626083	0	
15785956	1995	
9a5723b6	0	
7b29c209	0	
876e9920	0	
a0015440	1992	
ec6cd5f0	1991	
34fb7b27	0	
85a93f8d	1994	
2487049f	0	
d444e1f0	1994	
bbad77a4	1993	
fdf23eff	0	
c67ddb14	0	
bc5a0562	1994	
6abab577	1994	
8eedfd51	0	
d1c8c1c5	0	
a6efec47	0	
9cbee37b	0	
4d87235e	1994	
85c956ef	0	
83699e34	0	
c440f292	1993	
965b2628	1991	
3ace429b	1992	
64fb13aa	1993	
306861a2	1992	
3d842478	0	
7e41c8fe	0	
e0107f10	1992	
61f90a8a	1994	
894d8fb0	1991	
54cf5f60	1994	
1aef72ea	0	
f1e22f43	1991	
3960a00f	1991	
44f66bff	1991	
77bbd841	1990	
14e3fb7b	0	
c972014f	1995	
5bb8b2d4	1994	
ea2ae360	1994	
3b5cc398	0	
cd7e53d0	0	
437ba326	0	
a8de6aea	0	
f56785a0	0	
5b85deed	1994	
8fa5a3f0	0	
2fb4eaba	0	
7bb9dd9b	0	
360b2610	0	
bb511bd0	1995	
25b05480	1994	
78e92143	1994	
5df93f11	0	
bc79b6ed	0	
2abae889	0	
7fedaf10	1995	
61069069	0	
16113a72	0	
f9b396b8	0	
4e3bcca0	0	
a4f48c30	0	
713d377b	1990	
ebe9ad10	0	
bd385c27	1991	
cd09d310	1992	
2dede3db	1992	
d32199f7	0	
fbb92909	1994	
68865f6f	1996	
ebe9e840	0	
154aca2d	0	
499955f2	0	
72dd884f	0	
a6d7e02d	0	
40f4aacc	0	
5ea0c97d	1991	
6a3f5ae2	1994	
e0594abe	1993	
ce67143a	0	
9378fbcd	0	
83cb46d1	1994	
4815e075	0	
288f3e10	1993	
496af51c	1991	
3ee2bbc4	1997	
4d2785bc	1991	
b6d3eb50	1993	
5381506f	1993	
7e729693	1990	
4148f816	1991	
c51f40cb	1990	
a22df040	0	
48ee66cb	0	
d8c9ac6d	0	
3e9e010c	0	
61e458c3	0	
e19da6e5	0	
36e08145	1992	
336bbf3e	1992	
af9f275d	1992	
c8620574	0	
db70e8ca	0	
24d7507c	0	
5f872737	1995	
c2e05acb	1995	
f785f9d7	1994	
c19c200e	0	
d6695695	1993	
af9f9d9c	1991	
7ff5529f	1992	
b28bdd69	0	
88b30eff	0	
543bed30	1993	
11b56228	0	
3c14e15a	1993	
a77e4e9f	1992	
a84d28a1	1993	
a30ebdb1	1994	
8dc1ead0	1994	
332b9ecd	1994	
43797455	0	
9ed4c323	1994	
658f6910	1994	
e01f6ed5	0	
2ac1e7c6	0	
63522553	0	
d20f385b	0	
44a2ca44	1996	
8c70b84e	1995	
95b5e8d7	1997	
7fada88d	0	
62d8a0e7	0	
acd08ce8	1993	
afe05eee	1991	
f9394e97	1991	
24ab4c3a	0	
39faaa70	0	
eea21b5c	0	
7b905383	0	
6a632503	1994	
f4951d1f	1994	
9bc192ce	1994	
aea0786d	1993	
677206cb	1993	
e9960371	0	
b1524979	0	
944135ca	1992	
cbe6c1ea	1993	
bb1fc9ce	0	
a143a8c5	1990	
e9310d3b	1993	
edc0fb28	0	
e5c9cbb0	0	
bb83b528	0	
22adbd66	0	
d63e9f2d	1994	
6bdb14ed	1994	
914ec662	1994	
56a6e030	1992	
f5442334	1992	
9fc340a7	1991	
b88a710d	0	
83e1fe76	0	
11b5b590	0	
70ab775f	0	
4a4414ea	0	
8fa0b6e6	0	
d9a364ff	0	
6634b130	0	
2559e03c	1992	
2d1766e9	1992	
f05d0700	0	
9fb70301	1992	
31b83d22	0	
bc61aa50	0	
deb79c20	0	
fbe254ea	0	
bdad1cbc	0	
b8261ff5	0	
8e2bceaf	1991	
2b75b52f	1990	
b670a3e0	0	
d4b122f9	0	
a771e1a4	0	
